pid,trial_index,stimulus_song,target_song,emotion,arousal,valence,correct
7,29,audio/15_Bunkertor_7_(German_Texture).mp3,angry,angry,4,4,TRUE
7,30,audio/4_Make_Light.mp3,happy,happy,5,4,TRUE
7,31,audio/2_Inside.mp3,sad,sad,5,4,TRUE
7,32,audio/3_Old_Blacktop.mp3,sad,sad,4,4,TRUE
7,33,audio/12_Skank_Down.mp3,happy,happy,4,4,TRUE
7,34,audio/8_Restless.mp3,happy,happy,5,5,TRUE
7,35,audio/2_Love's_Requiem.mp3,sad,sad,4,4,TRUE
7,36,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,sad,5,4,TRUE
7,37,audio/11_Be_Happy.mp3,happy,relaxed,4,4,FALSE
7,38,audio/21_Skank_Down.mp3,happy,happy,5,5,TRUE
7,39,audio/7_Here_Today.mp3,sad,sad,4,4,TRUE
7,40,audio/2_Sweet_Song.mp3,relaxed,sad,4,4,FALSE
7,41,audio/1_The_Sweetest.mp3,relaxed,relaxed,5,4,TRUE
8,0,audio/2_Sweet_Song.mp3,relaxed,relaxed,5,6,TRUE
8,1,audio/7_Digital.mp3,relaxed,happy,6,6,FALSE
8,2,audio/9_Pain_(Live_Version).mp3,angry,angry,7,4,TRUE
8,3,audio/1_Skinny_Love.mp3,sad,sad,2,2,TRUE
8,4,audio/14_Get_Lucky.mp3,happy,happy,6,6,TRUE
8,5,audio/12_Skank_Down.mp3,happy,angry,6,4,FALSE
8,6,audio/4_Destiny.mp3,relaxed,happy,4,4,FALSE
8,7,audio/3_Walk_on_the_wild_side.mp3,relaxed,relaxed,5,5,TRUE
8,8,audio/5_Get_Lucky.mp3,happy,happy,3,5,TRUE
8,9,audio/16_Restless.mp3,happy,none of these,4,4,FALSE
8,10,audio/11_Be_Happy.mp3,happy,happy,5,5,TRUE
8,11,audio/25_Old_Blacktop.mp3,sad,relaxed,3,4,FALSE
8,12,audio/4_Come_On_Baby.mp3,relaxed,relaxed,4,5,TRUE
8,13,audio/1_The_Sweetest.mp3,relaxed,relaxed,3,4,TRUE
8,14,audio/7_Here_Today.mp3,sad,none of these,4,4,FALSE
8,15,audio/2_Inside.mp3,sad,relaxed,3,4,FALSE
8,16,audio/3_Old_Blacktop.mp3,sad,relaxed,3,4,FALSE
8,17,audio/2_Blood_On_The_Ground.mp3,angry,angry,6,4,TRUE
8,18,audio/26_Make_Light.mp3,happy,happy,5,5,TRUE
8,19,audio/2_Boser_Wolf.mp3,sad,happy,5,5,FALSE
8,20,audio/4_Make_Light.mp3,happy,relaxed,4,5,FALSE
8,21,audio/2_Love's_Requiem.mp3,sad,relaxed,4,4,FALSE
8,22,audio/12_Fire_And_Rain_(LP_Version).mp3,sad,happy,2,5,FALSE
8,23,audio/24_Restless.mp3,happy,happy,6,6,TRUE
8,24,audio/15_Here_Today.mp3,sad,relaxed,2,4,FALSE
8,25,audio/1_Be_Happy.mp3,happy,happy,4,4,TRUE
8,26,audio/5_Valerie.mp3,happy,happy,6,6,TRUE
8,27,audio/12_Skinny_Love.mp3,sad,sad,2,2,TRUE
8,28,audio/8_Fire_And_Rain__(LP_Version).mp3,sad,sad,2,2,TRUE
8,29,audio/13_Boser_Wolf.mp3,sad,none of these,7,4,FALSE
